GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
264855248,20130827,201308,2013,2013.6493,SGPGOV,SINGAPORE,SGP,,,,,GOV,,, CHNGOV,XI JINPING,CHN,,,,,GOV,,,0,046,046,04,1,7.0,1,1,1,0.0,4,"Zhukovskiy, Volgogradskaya Oblast', Russia",RS,RS84,50.0838,42.6162,-3047527,1,Belarus,BO,BO,53.0,28.0,BO,4,"Zhukovskiy, Volgogradskaya Oblast', Russia",RS,RS84,50.0838,42.6162,-3047527,20130827,BBC Monitoring
16776027,19960627,199606,1996,1996.4849,VNMGOV,DO MUOI,VNM,,,,,GOV,,,CHNGOV,LI PENG,CHN,,,,,GOV,,,0,051,051,05,1,3.4,1,1,1,10.1156069364162,4,"Li Peng, Zhejiang, China",CH,CH02,30.8393,119.956,11018891,4,"Hong Ha, Phú, Vietnam, Republic Of",VM,VM83,21.2401,105.345,11361838,4,"Hong Ha, Phú, Vietnam, Republic Of",VM,VM83,21.2401,105.345,11361838,20130203,unspecified
268671687,20130922,201309,2013,2013.7178,IDNGOV,INDONESIAN,IDN,,,,,GOV,,,CHNGOV,XI JINPING,CHN,,,,,GOV,,,1,043,043,04,1,2.8,2,1,2,0.838574423480084,4,"Bali, Nusa Tenggara Timur, Indonesia",ID,ID18,-8.5163,120.767,10544162,4,"Jinping, Hunan, China",CH,CH11,27.0039,109.832,6175090,4,"Bali, Nusa Tenggara Timur, Indonesia",ID,ID18,-8.5163,120.767,10544162,20130922,http://www.businesstimes.com.sg/premium/singapore/15-apec-leaders-slated-speak-bali-ceo-summit-20130923
216785310,20120905,201209,2012,2012.6712,SGPGOV,SINGAPOREAN,SGP,,,,,GOV,,,CHNGOV,HU JINTAO,CHN,,,,,GOV,,,0,036,036,03,1,4.0,6,1,6,0.0,4,"Rostov-Na-Donu, Rostovskaya Oblast', Russia",RS,RS61,47.2364,39.7139,-2993218,4,"Rostov-Na-Donu, Rostovskaya Oblast', Russia",RS,RS61,47.2364,39.7139,-2993218,4,"Rostov-Na-Donu, Rostovskaya Oblast', Russia",RS,RS61,47.2364,39.7139,-2993218,20130203,unspecified
318495712,20141014,201410,2014,2014.7781,THAGOV,PHUKET,THA,,,,,GOV,,,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,040,040,04,1,1.0,6,1,6,1.07913669064748,4,"Phuket, Phuket, Thailand",TH,TH62,7.83333,98.3833,-3253342,1,China,CH,CH,35.0,105.0,CH,4,"Phuket, Phuket, Thailand",TH,TH62,7.83333,98.3833,-3253342,20141014,http://phuketnews.phuketindex.com/government/chinese-consul-204563.html
223681813,20121120,201211,2012,2012.8767,IDNGOV,INDONESIA,IDN,,,,,GOV,,,CHNGOV,WEN JIABAO,CHN,,,,,GOV,,,0,036,036,03,1,4.0,5,1,5,0.0,1,Algeria,AG,AG,28.0,3.0,0,1,Algeria,AG,AG,28.0,3.0,0,1,Algeria,AG,AG,28.0,3.0,0,20130203,unspecified
3680025,19841001,198410,1984,1984.7425,VNMGOV,TRUONG CHINH,VNM,,,,,GOV,,,CHNGOV,LI XIANNIAN,CHN,,,,,GOV,,,1,051,051,05,1,3.4,4,1,4,10.7692307692308,1,Mongolia,MG,MG,46.0,105.0,0,1,Mongolia,MG,MG,46.0,105.0,0,1,Mongolia,MG,MG,46.0,105.0,0,20130203,unspecified
41004178,20020302,200203,2002,2002.1699,VNMGOV,NONG DUC MANH,VNM,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,043,043,04,1,2.8,9,1,9,14.0239043824701,4,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,VM44,21.0333,105.85,-3714993,0,"Beibu, Hebei, China",CH,CH10,39.6667,118.85,-1898406,4,"Beibu, Hebei, China",CH,CH10,39.6667,118.85,-1898406,20130203,unspecified
256956980,20130620,201306,2013,2013.4658,VNMGOV,VIETNAMESE,VNM,,,,,GOV,,, CHNGOV,XI JINPING,CHN,,,,,GOV,,,1,042,042,04,1,1.9,2,1,2,0.0,4,"Baku, Baki*, Azerbaijan",AJ,AJ09,40.3953,49.8822,-2705195,1,Armenia,AM,AM,40.0,45.0,AM,1,Armenia,AM,AM,40.0,45.0,AM,20130620,BBC Monitoring
224525097,20121129,201211,2012,2012.9014,PHLGOV,ALBERT DEL ROSARIO,PHL,,,,,GOV,,,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,010,010,01,1,0.0,6,1,6,0.888888888888889,4,"Aksai Chin, China (general), China",CH,CH00,35.0931,79.5397,-1896541,4,"Aksai Chin, China (general), China",CH,CH00,35.0931,79.5397,-1896541,4,"Aksai Chin, China (general), China",CH,CH00,35.0931,79.5397,-1896541,20130203,unspecified
